CommentWord,Good,Bad
FOX,1.635597136069415e-05,0.0
30,0.00010222482100433842,0.0
logos,8.177985680347074e-06,0.0
Media:Example_oggThe,4.088992840173537e-06,0.0
two,0.0005888149689849893,0.00033390839779620456
in,0.012213821613598354,0.00578774556180088
question,0.00044978921241908907,0.00027825699816350384
are,0.006521943580076791,0.00578774556180088
fine,8.177985680347073e-05,0.00016695419889810228
to,0.028070935847791332,0.01597195169458512
be,0.007818154310411803,0.003728643775390951
added_,4.4978921241908905e-05,0.0
I,0.016286458482411198,0.0293282876064333
work,0.0005315690692225598,0.00033390839779620456
at,0.003586046720832192,0.0021704045856753298
KCVU-TV_,4.088992840173537e-06,0.0
which,0.00241659476854256,0.0007791195948578107
is,0.015321456172130243,0.011352885525070956
30_,3.680093556156183e-05,0.0
There,0.0006460608687474188,0.00033390839779620456
should,0.002085386348488504,0.001613890589348322
no,0.0022489460620954455,0.0020034503867772274
problem_,0.0001308477708855532,0.00022260559853080306
Very,3.27119427213883e-05,0.0
well_,0.00026987352745145345,0.00016695419889810228
I_m,0.001402524544179523,0.001391284990817519
sorry,0.00017582669212746208,0.00022260559853080306
have,0.006460608687474188,0.004841671768044967
bothered,3.680093556156183e-05,0.0
you,0.014573170482378486,0.024375313039122933
with,0.00542200450607011,0.0038399465746563528
all,0.00213854325541076,0.002615615782736936
of,0.02051038808631046,0.01163114252323446
this_,0.0004620561909396097,0.00033390839779620456
Others,1.226697852052061e-05,0.0
looking,0.0001880936706479827,0.00011130279926540153
the,0.04176088387669233,0.018309310479158552
images,0.00021262762768902392,5.5651399632700765e-05
and,0.019230533327336145,0.016417162891646724
will,0.0029195408878839053,0.0023930101842061327
decide,0.0001880936706479827,5.5651399632700765e-05
if,0.0029440748449249465,0.0019477989871445266
they,0.0020117844773653803,0.0015025877900829206
okay_,8.177985680347074e-06,0.0
Happy,0.0001226697852052061,5.5651399632700765e-05
editing,0.0006746838186286336,0.00072346819522511
good,0.0010549601527647726,0.0005565139963270077
luck,4.906791408208244e-05,0.00016695419889810228
election_,2.0444964200867683e-05,0.0
_,0.010177503179191933,0.005231231565473872
Thanks,0.0006501498615875923,5.5651399632700765e-05
for,0.009098009069386119,0.00439646057098336
cookies,1.226697852052061e-05,0.0
left,0.00020444964200867685,5.5651399632700765e-05
on,0.007695484525206597,0.005342534364739273
my,0.0033856860716636886,0.004229506372085258
talk,0.0018359577852379181,0.0008347709944905114
page_,0.0012757657661341434,0.0008904223941232122
I_ve,0.0007196627398705425,0.0005008625966943068
been,0.0023757048401408247,0.0011130279926540153
Wikipedia,0.0016723980716309766,0.0008904223941232122
since,0.0006583278472679394,0.00033390839779620456
December,8.586884964364427e-05,0.0
2007_,5.315690692225598e-05,0.0
but,0.003737339455918613,0.0019477989871445266
never,0.0005601920191037746,0.00033390839779620456
get,0.0010672271312852932,0.0022260559853080307
tired,3.680093556156183e-05,0.0
being,0.0013166556945358788,0.001613890589348322
welcomed_,4.088992840173537e-06,0.0
Ahehe_,4.088992840173537e-06,0.0
It_s,0.0005601920191037746,0.00027825699816350384
always,0.00029849647733266817,0.00033390839779620456
nice,9.404683532399135e-05,0.00022260559853080306
know,0.0015047493651838616,0.001892147587511826
you_re,0.000441611226738742,0.0008904223941232122
appreciated_,6.54238854427766e-05,0.0
kag72,4.088992840173537e-06,0.0
Deletion,4.0889928401735367e-05,0.0
Not,0.00017582669212746208,0.00016695419889810228
sure,0.0005193020907020392,0.00022260559853080306
this,0.0065873674655195676,0.004730368968779565
right,0.0005315690692225598,0.0005008625966943068
way,0.0007973536038338397,0.0008347709944905114
respond,5.724589976242952e-05,0.0
firm,8.177985680347074e-06,0.0
has,0.0028622949881214757,0.0010017251933886137
designed,3.27119427213883e-05,0.0
several,0.0002862294988121476,0.0
notable,0.0001880936706479827,0.0
architecture,4.088992840173537e-06,0.0
